,id,name,url,title,review
0,0-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," Wonderfully imaginative and innovative
","A group of scientists build a rocket and fly to the Moon.Wonderfully imaginative and innovative. Directed by Georges Melies, a pioneer in the art and technology of film-making. Shot in 1902, when cinema was in its infancy, the movie shows cinema's theatrical roots, as well as the resourcefulness and ingenuity a pioneer like Melies possessed, and needed to possess. Clever set design, ""special effects"" and editing. Good plot with a great innocence and imagination to it all. It also gave us the iconic moon-with-a-rocket-in-its-face image.Such a landmark film in cinema history that it features heavily in Martin Scorsese's homage to cinema - 'Hugo' (2011)."
1,1-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," I can now say that I've seen a movie that's over 100 years old
","Georges Méliès's 1902 masterpiece is not just a science fiction movie. It's also a satire on nineteenth-century science. It attempts to show the illogicality of logical thinking, as a great voyage gets achieved by incompetent doofuses, with the movie's most famous scene as the ultimate example.""Le Voyage dans la Lune"" (""A Trip to the Moon"") is also an indictment of colonialism. The astronauts attack the Moon Men - called Selenites - and then bring one back to Earth, where they parade him around. This clearly reflects France's occupation of large swaths of Africa and Asia. Indeed, the statue at the end is similar to an anti-Boulangist cartoon that Méliès earlier drew.The movie recently played a role in Martin Scorsese's ""Hugo"", and the DVD that I watched included Scorsese in the Special Thanks section. It's a fine look at what humans once imagined the rest of the universe to be. This is truly one of the movies that you have to see before you die."
2,2-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," Narrative Development: Magic
","""A Trip to the Moon"" is justly the most popular early film. I've seen thousands of early short movies and have commented on some of the most interesting cases, but this one is more amusing and imaginative than the rest (although a rather sinister reflection of colonialism may be read into the explorers treatment of the Moon's natives). It's better than Georges Méliès's other surviving pictures because it has a more developed story--without the tableau vivant style becoming as boring as it usually does. Wacky humor and trick shots help, but that's in the rest of his oeuvre, too. Influenced by the works of Jules Verne and H.G. Wells, as well as Adolphe Dennery's adaptation of those pieces, the story is about a gang of astronomers, who, launched from a cannon onto the Moon, encounter explosive aliens (or ""Selenites"", as Méliès called them).Méliès used the stop-motion (or substitution-splice) effect and arising smoke for explosive characters in many of his films--same with superimpositions, animated miniatures and placing a fish tank in front of the camera. Additionally, his set designs were the best of the day. I easily forget it's all done within a cramped studio. He often used moving props, too, but this is one of the few that I've seen where the prop is pulled towards the camera--creating the famous rocket kissing the moon's eye gag. The following shot is a temporal replay of that action from a different perspective. It works here, but Edwin S. Porter would make the mistake of adopting the technique for ""Life of an American Fireman"", which was reedited later, leading many to believe it was a landmark in narrative editing. The ""30 tableaux"", as Méliès called it, is linked by dissolves--a common transition at the time, which he introduced.Méliès made it known that his goal was to push cinema towards resembling theatre. The benefit was longer films with more developed stories. Given this, it's ironic that he was one of the first filmmakers to achieve effects specific to motion pictures (i.e. incapable of being produced in theatre or other art forms)... i.e. the trick shots.Numerous early shorts are blatant imitations of Méliès's work, but they usually weren't as funny or creative. Many studios even duped his films and sold them as their own, which led to Méliès patenting his work in the U.S. and joining the Motion Pictures Patents Company (MPPC). ""A Trip to the Moon"" represents the height of his career. His work would soon diminish under the hectic schedule of the Nickelodeon age and the monopolization by the MPPC and Pathé, and he would end up burning his own negatives. Watch Jacques Meny's documentary ""La Magie Méliès"" (1997) for a good telling of his life and films.(Note: This is one of four films that I've commented on because they're landmarks of early narrative development in film history. The others are ""As Seen Through a Telescope"", ""The Great Train Robbery"" and ""Rescued by Rover"".)"
3,3-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," Trip to the Moon, A
","Trip to the Moon, A (1902) **** (out of 4) aka Le Voyage dans la LuneGeorge Melies' landmark film tells the story of a group of men who want to explore the moon so they build a rocket and fly there only to discover some moon monsters. There's no question that this is one of the greatest landmarks in the history of cinema and the amusing story just shows the wonderful mind of the director. This really is a fairy tale about what the moon would be like and this moon creation is something we've seen in the director's previous films but this time out we get to explore the fairy tale. I think the greatest thing about this movie is its visual look, which really blows ones mind when you consider how well it holds up today. The look of the moon is brilliantly done as is the underground creatures that attack towards the end. There's also the landmark scene of the ship flying into the face of the moon and there's no question this is one of the greatest scenes in film history even if it was made over a hundred years ago."
4,4-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," Tripping on the Moon.
","Since seeing nods to the landmark work in Martin Scorsese's Hugo,I've been meaning to see Georges Méliès A Trip to the Moon,but for some reason have never got round to it.After a wonderful day celebrating my dads birthday,I felt that it was the perfect time to go to the moon.The plot:Meeting up at the Astronomic Club, astronauts Barbenfouillis, Nostradamus, Alcofrisbas,Omega, Micromegas and Parafaragaramus decide to build a space ship in order to travel to the moon.Each play their part,they all build the spaceship and set off.Landing on the moon,the group starts making plans to leave their mark on it,but soon discover that the moon has other plans.View on the film:Showing the title to be much more than solely having the iconic shot of the moon ""getting it"" in the eye,writer/director and star Georges Méliès displays a creativity decades ahead of its time.Taking 3 months to shoot, Méliès makes every shot with a surrealist flourish leaping from spectacular in camera special effects moving the foundation of the Moon,to a tribe on the Moon showing who is in charge. Inspired by the work of Jules Verne & H.G. Wells,the screenplay by Georges Méliès blends the animated Sci-Fi thrills with a cleverly underlying satirical edge. Working as a anti-Boulangist satirical cartoonist before entering the movie world, Méliès takes a superb satirical shot at imperialism,as the inhibitions on the Moon rise up, and send the scientists on a trip to the earth."
5,5-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," classic
","A group of astronomers travel to the moon by getting shot out of a large cannon. They head into the interiors and encounter strange moon-men among giant mushrooms. The version I saw is black and white with a modern narration. The narration is off-putting and out-of-place. I would have loved to see the hand painted colors. Nevertheless, this is a classic. It is imaginative. It is beautiful. It has a nice narrative flow like watching a children's book come to life. The effects are fun. This is a cinematic icon."
6,6-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," No wonder the moon was angry...
","... lunar opthamologists must be so expensive! So why should you watch this film? Lumiere was one of the first of the filmmakers to try and entertain audiences with fantastic tales versus Edison's shots of reality. I also think Edison actually tried to steal this film from Lumiere, but I could be wrong about that.Lumiere does everything in long shots, there are no close ups. Individual performers and performances are not the point. It is the fantasy in its entirety that is the point. There are girls dressed as ushers that help the scientists, all decked out in long wigs and robes like judges as a head scientist draws their trip on the board. Their rocket ship is shot out of a cannon directly into the man in the moon's eye. The surface of the moon looks like it is overgrown with tree roots, and the scientists simply lie down and go to sleep until passing stars spot them and start a snow storm. They seek shelter in a cave where they realize that if they plant their umbrellas in the ground that they grow like mushrooms. Then they are captured by the natives who look like people dressed in skeleton Halloween costumes with spears. The scientists strike the natives on the head and realize that causes them to disintegrate. They use this to escape, get back to their rocket, and with one scientist hanging on the front of the rocket to get it to tip over the edge of the moon, they and their rocket fall back to earth, into the sea actually, with one of the moon natives hanging on to the back of the rocket. The rocket is towed back to land where there is a grand parade with the lone native shown off as an exhibition and prisoner.I'm telling you the entire story because there is not THAT much story, and the fun is in looking around at Lumiere's interesting and intricate sets. The laws of gravity were known, but past that I don't know how much science knew about space travel in theory, and how much Lumiere just ignored for the fun of it all. It's funny some things they accidentally got right. The capsule landed in the sea, just like American space capsules did. The hitting of the moon people over the head and them disintegrating seems like a forerunner of the zombie movies of later in the twentieth century. And Lumiere got that people liked to look at pretty girls, thus he has his film full of them, scantily clad for the time period, even when they don't seem to have much purpose. But then Wall Street Week with Louis Rukeyser was doing that on TV - having pretty girls escort CEOs to their chair like they could not find their way from one side of the stage to the other - until about 1990!"
7,7-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," Definitely cult!
","In twenty years, Georges Méliès has designed and made approximately 600 short films, before prematurely disappearing because of a precarious financial situation aggravated by a widowhood in 1913 and the First World War in 1914. His originals were mainly destroyed between 1914 and 1925, either to recover the silver in themselves or to transform them into heels of military shoes for the ""poilus"", i.e. French World War I infantrymen. Thus, those available today, on YouTube for instance, are mostly hand-colored copies.A century later, Georges Méliès is unanimously considered as a prolific and awesome pioneer. In France, he built the first film studio. He dedicated his life to silent film and illusions. This film is a masterpiece of illusions and poetry, thanks to many technical innovations, well before Avengers: Endgame (Anthony and Joe Russo, 2019). It is part of the French heritage, as Scrooge, or Marley's Ghost (Walter R. Booth, 1901) in UK, or The Great Train Robbery (Edwin S. Porter, 1903) in USA."
8,8-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," A Trip To The Moon
",A Trip To The Moon is the earliest real short film that is very important for whole film industry and filmmaking that can be thankful for this film cause it invented many things and interduced such staff to us.You cant judge this film just based on a quality of making but to a impact that it made back in 1902 but even more for the future of all movie that will love and admire them and we have to realise that if this film wasnt made neither would they would me made.Score was here great and composed in a brilliant way.Special effects are still somewhat great and they look very impressive for that age.A trip to the moon is one of most peaces of films ever made
9,9-tt0000417,A Trip to the Moon,https://www.imdb.com/title/tt0000417/," History
","The best remembered film of Georges Méliès, this film was such a success upon its early release that it was one of the first films to be bootlegged*. Based loosely on Jules Vernes' From the Earth to the Moon and Around the Moon.Professor Barbenfouillis and five brave astronomers - Nostradamus, Alcofrisbas, Omega, Micromegas and Parafaragaramus - have decided to go to the moon, gifting us with that iconic image of the rocket hitting the face of the lunar surface directly in the eye.The learned men that do make it to the moon have no issue crushing its natives, the insect Selenites, literally exploding them with just a casual push. After running wild through many of their number, the astronauts - who had been awakened by the gentle swinging of Phoebe goddess of the moon just hours earlier - escape back to Earth, enjoying a parade where they lead a captured alien through the streets as a banner unfurls with the legend labor omnia vincit (work conquers all).Film scholar Matthew Solomon has written that Méliès, who was previously an anti-Boulangist political cartoonist, used this adventure and science fiction film as a parable within which to decry imperialistic domination. His conquering heroes aren't really scientists and smart men, but dolts who hurt everyone they meet and still return to a hero's welcome.While there are black and white versions of this film, the one that played Fantastic Fest had the hand tinted colors that were created by Elisabeth Thuillier's lab, which would make up to sixty prints of certain films, giving them an otherworldly quality which is perfect for this essential piece of cinema.The version that played Fantastic Fest has the score interpreted by House of Waters, which features ""Jimi Hendrix of Hammered Dulcimer"" Max ZT, Moto Fukushim and Ignacio Rivas Bixio.*By Thomas Edison!"
